,Name,Variety,Value,Note,Note_Ind
298,EVELIA MARIA HONEY GESHA,Gesha,0.1,Grain & Cereal,12
299,ELIDA ESTATE GREEN TIP GESHA,Gesha,0.1,Grain & Cereal,12
300,Meaza,Ethiopia Heirloom,0.1,Grain & Cereal,12
301,Bella Aurora,Caturra,0.1,Grain & Cereal,12
302,EL ESCOBERO AUCTION LOT,Caturra,0.1,Grain & Cereal,12
303,Kilenso,Ethiopia Heirloom,0.1,Grain & Cereal,12
304,Mr. David Mburu,"Ruiru 11, SL 28, SL 34",7,Grain & Cereal,12
305,Finca Las Terrazas,"San Ramon, Bourbon, Caturra",0.1,Grain & Cereal,12
306,David Mancia,"Pacas, Catimor",0.1,Grain & Cereal,12
307,Benjamin Miranda,Pacas,0.1,Grain & Cereal,12
308,Duncan Estate,Gesha,0.1,Grain & Cereal,12
309,Addisu Kidane,Ethiopia Heirloom,0.1,Grain & Cereal,12
310,Shilcho,Ethiopia Heirloom,0.1,Grain & Cereal,12
311,Los Vascos,"Bourbon, caturra, catimor",0.1,Grain & Cereal,12
312,MONTEBLANCO BOURBON ROSA,Burbon Rosa,0.1,Roast,13
313,HUNAPU,Burbon,0.1,Roast,13
314,EL LIMONCILLO YELLOW PACAMARA,Yellow Pacamara,0.1,Roast,13
315,MERSHA ASSEFA,Ethiopia Heirloom,0.1,Roast,13
316,SANTA CLARA,Burbon,0.1,Roast,13
317,EL VENDAVAL,Catuai,0.1,Roast,13
318,SUMAVA ESPRESSO,Caturra,0.1,Roast,13
319,LA HUERTA,"Burbon, Caturra",0.1,Roast,13
320,KII PEABERRY,"SL28, SL24",0.1,Roast,13
321,LUITO GESHA,Gesha,0.1,Roast,13
322,EVELIA MARIA HONEY GESHA,Gesha,0.1,Roast,13
323,ELIDA ESTATE GREEN TIP GESHA,Gesha,0.1,Roast,13
324,Meaza,Ethiopia Heirloom,0.1,Roast,13
325,Bella Aurora,Caturra,0.1,Roast,13
326,EL ESCOBERO AUCTION LOT,Caturra,0.1,Roast,13
327,Kilenso,Ethiopia Heirloom,0.1,Roast,13
328,Mr. David Mburu,"Ruiru 11, SL 28, SL 34",0.1,Roast,13
329,Finca Las Terrazas,"San Ramon, Bourbon, Caturra",0.1,Roast,13
330,David Mancia,"Pacas, Catimor",0.1,Roast,13
331,Benjamin Miranda,Pacas,0.1,Roast,13
332,Duncan Estate,Gesha,0.1,Roast,13
333,Addisu Kidane,Ethiopia Heirloom,0.1,Roast,13
334,Shilcho,Ethiopia Heirloom,0.1,Roast,13
335,Los Vascos,"Bourbon, caturra, catimor",0.1,Roast,13
336,MONTEBLANCO BOURBON ROSA,Burbon Rosa,0.1,Spice,14
337,HUNAPU,Burbon,0.1,Spice,14
338,EL LIMONCILLO YELLOW PACAMARA,Yellow Pacamara,0.1,Spice,14
339,MERSHA ASSEFA,Ethiopia Heirloom,7,Spice,14
340,SANTA CLARA,Burbon,0.1,Spice,14
341,EL VENDAVAL,Catuai,0.1,Spice,14
342,SUMAVA ESPRESSO,Caturra,0.1,Spice,14
343,LA HUERTA,"Burbon, Caturra",0.1,Spice,14
344,KII PEABERRY,"SL28, SL24",0.1,Spice,14
345,LUITO GESHA,Gesha,0.1,Spice,14
346,EVELIA MARIA HONEY GESHA,Gesha,0.1,Spice,14
347,ELIDA ESTATE GREEN TIP GESHA,Gesha,0.1,Spice,14
348,Meaza,Ethiopia Heirloom,0.1,Spice,14
349,Bella Aurora,Caturra,0.1,Spice,14
350,EL ESCOBERO AUCTION LOT,Caturra,0.1,Spice,14
351,Kilenso,Ethiopia Heirloom,0.1,Spice,14
352,Mr. David Mburu,"Ruiru 11, SL 28, SL 34",0.1,Spice,14
353,Finca Las Terrazas,"San Ramon, Bourbon, Caturra",0.1,Spice,14
354,David Mancia,"Pacas, Catimor",0.1,Spice,14
355,Benjamin Miranda,Pacas,0.1,Spice,14
356,Duncan Estate,Gesha,0.1,Spice,14
357,Addisu Kidane,Ethiopia Heirloom,0.1,Spice,14
358,Shilcho,Ethiopia Heirloom,5,Spice,14
359,Los Vascos,"Bourbon, caturra, catimor",5,Spice,14
360,MONTEBLANCO BOURBON ROSA,Burbon Rosa,0.1,Savory,15
361,HUNAPU,Burbon,0.1,Savory,15
362,EL LIMONCILLO YELLOW PACAMARA,Yellow Pacamara,0.1,Savory,15
363,MERSHA ASSEFA,Ethiopia Heirloom,0.1,Savory,15
364,SANTA CLARA,Burbon,0.1,Savory,15
365,EL VENDAVAL,Catuai,0.1,Savory,15
366,SUMAVA ESPRESSO,Caturra,0.1,Savory,15
367,LA HUERTA,"Burbon, Caturra",0.1,Savory,15
368,KII PEABERRY,"SL28, SL24",0.1,Savory,15
369,LUITO GESHA,Gesha,0.1,Savory,15
370,EVELIA MARIA HONEY GESHA,Gesha,0.1,Savory,15
371,ELIDA ESTATE GREEN TIP GESHA,Gesha,0.1,Savory,15
372,Meaza,Ethiopia Heirloom,0.1,Savory,15
373,Bella Aurora,Caturra,0.1,Savory,15
374,EL ESCOBERO AUCTION LOT,Caturra,0.1,Savory,15
375,Kilenso,Ethiopia Heirloom,0.1,Savory,15
376,Mr. David Mburu,"Ruiru 11, SL 28, SL 34",0.1,Savory,15
377,Finca Las Terrazas,"San Ramon, Bourbon, Caturra",0.1,Savory,15
378,David Mancia,"Pacas, Catimor",0.1,Savory,15
379,Benjamin Miranda,Pacas,0.1,Savory,15
380,Duncan Estate,Gesha,0.1,Savory,15
381,Addisu Kidane,Ethiopia Heirloom,0.1,Savory,15
382,Shilcho,Ethiopia Heirloom,0.1,Savory,15
383,Los Vascos,"Bourbon, caturra, catimor",0.1,Savory,15
384,MONTEBLANCO BOURBON ROSA,Burbon Rosa,0.1,Herb,16
385,HUNAPU,Burbon,0.1,Herb,16
386,EL LIMONCILLO YELLOW PACAMARA,Yellow Pacamara,0.1,Herb,16
387,MERSHA ASSEFA,Ethiopia Heirloom,0.1,Herb,16
388,SANTA CLARA,Burbon,0.1,Herb,16
389,EL VENDAVAL,Catuai,0.1,Herb,16
390,SUMAVA ESPRESSO,Caturra,0.1,Herb,16
391,LA HUERTA,"Burbon, Caturra",0.1,Herb,16
392,KII PEABERRY,"SL28, SL24",0.1,Herb,16
393,LUITO GESHA,Gesha,0.1,Herb,16
394,EVELIA MARIA HONEY GESHA,Gesha,0.1,Herb,16
395,ELIDA ESTATE GREEN TIP GESHA,Gesha,0.1,Herb,16
396,Meaza,Ethiopia Heirloom,0.1,Herb,16
397,Bella Aurora,Caturra,0.1,Herb,16
398,EL ESCOBERO AUCTION LOT,Caturra,0.1,Herb,16
399,Kilenso,Ethiopia Heirloom,0.1,Herb,16
400,Mr. David Mburu,"Ruiru 11, SL 28, SL 34",0.1,Herb,16
401,Finca Las Terrazas,"San Ramon, Bourbon, Caturra",0.1,Herb,16
402,David Mancia,"Pacas, Catimor",0.1,Herb,16
403,Benjamin Miranda,Pacas,0.1,Herb,16
404,Duncan Estate,Gesha,5,Herb,16
405,Addisu Kidane,Ethiopia Heirloom,0.1,Herb,16
406,Shilcho,Ethiopia Heirloom,0.1,Herb,16
407,Los Vascos,"Bourbon, caturra, catimor",5,Herb,16
408,MONTEBLANCO BOURBON ROSA,Burbon Rosa,0.1,Earthy,17
409,HUNAPU,Burbon,0.1,Earthy,17
410,EL LIMONCILLO YELLOW PACAMARA,Yellow Pacamara,0.1,Earthy,17
411,MERSHA ASSEFA,Ethiopia Heirloom,0.1,Earthy,17
412,SANTA CLARA,Burbon,0.1,Earthy,17
413,EL VENDAVAL,Catuai,0.1,Earthy,17
